name,website,total_aum,asset_class,main_sdg,impact_focuses,firm_category,firm_hq,years_in_op,total_investors,capital_from_top_3,lead_total_impact_exp,top_3_impact_exp,pct_invest_women,pct_invest_poc,pct_sr_mgmt_women,pct_sr_mgmt_poc,target_return_bm,target_return_perf,report_freq,pct_aum_impact,primary_sdg,secondary_sdg,value_add_services,impact_tracked,impact_verified,impact_reported,list_of_validators
1863 Ventures,https://www.1863.fund/,Less than $25M,Cash / Cash Alternatives,8 – Decent Work & Economic Growth,"['Small/Medium Business Development', 'Diversity, Equity and Inclusion', 'Demographic-based impact']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,3 – 4 years,Between 5 – 25,50% – 99%,20 – 29 years,10 – 19 years,50% or more,50% or more,50% or more,50% or more,Near-market Rates,In line with initial target returns,Quarterly,100%,Addressing racial inequities,Increasing access to financial services,"['Access to markets', 'Business and legal training', 'Financial literacy training', 'Education services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
1st Course Capital,https://www.1cc.vc/,Less than $25M,Private Equity,3 – Good Health & Well-Being,"['Nutrition, Health and Wellness', 'Sustainable Agriculture', 'Small/Medium Business Development']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,3 – 4 years,Between 5 – 25,25% – 49%,10 – 19 years,10 – 19 years,50% or more,50% or more,50% or more,50% or more,Market Rates,In line with initial target returns,Quarterly,100%,Other: Improving health & sustainability in the US food system,Increasing access to healthcare services and improving health,"['Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Education services', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services', 'Other: Access to executive coaches, impact metrics experts, and more']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Achebe Capital,https://achebe.capital/,Less than $25M,Private Equity,10 – Reduced Inequalities,"['Clean Technology, Alternative Energy & Climate Change', 'Global Health', 'Racial equity and justice']",Venture Capital - Multi Stage - Emerging Markets,US & Canada,Less than 3 years,More than 25,Less than 25%,10 – 19 years,10 – 19 years,50% or more,50% or more,50% or more,50% or more,Above Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing racial inequities,Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Promoting arts and media', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Achieve Partners
Management LLC",https://www.achievepartners.com/,$100 – 499M,Private Equity,8 – Decent Work & Economic Growth,"['Education', 'Demographic-based impact', 'Job creation and workforce development']",Private Equity - Growth Stage (Developed Markets),US & Canada,5 – 9 years,More than 25,Less than 25%,30 years or more,30 years or more,50% or more,50% or more,25% to less than 50%,25% to less than 50%,Above Market Rates,In line with initial target returns,Quarterly,100%,"Increasing access to workforce development services, job skilling and retraining",Increasing access to education and improving educational outcomes,['Access to markets'],Yes,Yes,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Active Impact Investments
Management Inc.",https://www.activeimpactinvestments.com/,$50 – 99M,"Cash / Cash Alternatives, Private Equity",13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,5 – 9 years,More than 25,Less than 25%,10 – 19 years,10 – 19 years,50% or more,Less than 25%,25% to less than 50%,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Creating jobs', 'Increasing access to water and sanitation', 'Addressing gender inequities', 'Access to markets', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Acumen Capital Partners LLC,https://acumencapitalpartners.com/,$100 – 499M,Private Equity,1 – No Poverty,"['Clean Technology, Alternative Energy & Climate Change', 'Sustainable Agriculture', 'Microfinance, low-income financial services & micro-insurance']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Emerging Markets",US & Canada,5 – 9 years,Between 5 – 25,50% – 99%,30 years or more,20 – 29 years,50% or more,50% or more,25% to less than 50%,25% to less than 50%,Market Rates,In line with initial target returns,Quarterly,100%,Alleviating poverty,Addressing climate change and environmental issues,"['Creating jobs', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Access to markets', 'Business and legal training']",Yes,Yes,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Acumen Latam Impact
Ventures LLC “ALIVE Ventures”",https://www.alive-ventures.com/,$50 – 99M,Private Equity,1 – No Poverty,"['Education', 'Small/Medium Business Development', 'Job creation and workforce development']",Venture Capital - Late Stage (Series A/B) - Emerging Markets,Latin America/Caribbean,5 – 9 years,Between 5 – 25,50% – 99%,30 years or more,30 years or more,50% or more,50% or more,25% to less than 50%,50% or more,Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Alleviating poverty,Addressing climate change and environmental issues,"['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Adenia Partners,https://www.adenia.com/,$500 – 999M,Private Equity,8 – Decent Work & Economic Growth,"['Small/Medium Business Development', 'Diversity, Equity and Inclusion', 'Job creation and workforce development']",Private Equity - Growth Stage (Emerging Markets),Africa,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,50% or more,25% to less than 50%,25% to less than 50%,Above Market Rates,In line with initial target returns,Quarterly,100%,Creating jobs,Addressing climate change and environmental issues,"['Alleviating poverty', 'Increasing access to workforce development services, job skilling and retraining', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Providing housing', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Health services', 'Education services', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Advance Global Capital Limited,https://advanceglobalcap.com/,$100 – 499M,Private Debt - Absolute Return / Notes,8 – Decent Work & Economic Growth,"['Small/Medium Business Development', 'Diversity, Equity and Inclusion', 'Job creation and workforce development']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Emerging Markets)",Western Europe,10 years or more,More than 25,25% – 49%,30 years or more,30 years or more,Less than 25%,Less than 25%,Less than 25%,25% to less than 50%,Market Rates,Below initial target returns,Quarterly,100%,Increasing access to financial services,Alleviating poverty,"['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Technology training', 'Other: Customer feedback and surveys, marketing, and business development']",Yes,Yes,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Alante Capital Management,https://www.alantecapital.com/,Less than $25M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation', 'Arts and culture preservation']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,5 – 9 years,More than 25,25% – 49%,20 – 29 years,20 – 29 years,50% or more,Less than 25%,50% or more,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to water and sanitation', 'Promoting arts and media', 'Access to markets', 'Technology training', 'Other: Mindfulness Meditation for Founders']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
