name,link
1863 Ventures,https://impactassets.org/ia50/fund.php?id=a01RQ000007nO6rYAE
1st Course Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007nLovYAE
Achebe Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007nMJXYA2
"Achieve Partners
Management LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007BHcbYAG
"Active Impact Investments
Management Inc.",https://impactassets.org/ia50/fund.php?id=a01RQ000007BjqjYAC
Acumen Capital Partners LLC,https://impactassets.org/ia50/fund.php?id=a01RQ000007BqAXYA0
"Acumen Latam Impact
Ventures LLC “ALIVE Ventures”",https://impactassets.org/ia50/fund.php?id=a01RQ000007BkJjYAK
Adenia Partners,https://impactassets.org/ia50/fund.php?id=a01RQ000007BijIYAS
Advance Global Capital Limited,https://impactassets.org/ia50/fund.php?id=a01RQ000007XZO3YAO
Alante Capital Management,https://impactassets.org/ia50/fund.php?id=a01RQ000007nQtQYAU
Allivate Impact Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007nW4LYAU
"Alpha Impact Investment
Management",https://impactassets.org/ia50/fund.php?id=a01RQ000007BkjZYAS
Amplify Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007BrZdYAK
Apis & Heritage Capital Partners,https://impactassets.org/ia50/fund.php?id=a01RQ000007BoGqYAK
Apis Partners LLP,https://impactassets.org/ia50/fund.php?id=a01RQ000007BnUVYA0
Aqua-Spark,https://impactassets.org/ia50/fund.php?id=a01RQ000007XinsYAC
Arborview Capital LLC,https://impactassets.org/ia50/fund.php?id=a01RQ000007XhjrYAC
ArcTern Ventures,https://impactassets.org/ia50/fund.php?id=a01RQ000007BsnSYAS
"Arkview Capital, LP",https://impactassets.org/ia50/fund.php?id=a01RQ000007nS7DYAU
Aruwa Capital Management,https://impactassets.org/ia50/fund.php?id=a01RQ000007nWnWYAU
Astia,https://impactassets.org/ia50/fund.php?id=a01RQ000007DiVSYA0
Avesta Capital LLC,https://impactassets.org/ia50/fund.php?id=a01RQ000007nRzAYAU
Bamboo Capital Partners,https://impactassets.org/ia50/fund.php?id=a01RQ000007YTI6YAO
Better Ventures,https://impactassets.org/ia50/fund.php?id=a01RQ000007YVWnYAO
Beyond Capital Ventures,https://impactassets.org/ia50/fund.php?id=a01RQ000007nRntYAE
Blue Earth Capital AG,https://impactassets.org/ia50/fund.php?id=a01RQ000007E1oDYAS
Blue Innovation Fund,https://impactassets.org/ia50/fund.php?id=a01RQ000007nKUjYAM
BlueHub Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007E2p7YAC
BlueOrchard Finance Ltd,https://impactassets.org/ia50/fund.php?id=a01RQ000007YWB7YAO
Boston Impact Initiative,https://impactassets.org/ia50/fund.php?id=a01RQ000007o9AXYAY
"BTG Pactual Timberland
Investment Group, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007E4ULYA0
Buoyant Ventures,https://impactassets.org/ia50/fund.php?id=a01RQ000007o4Z5YAI
Burnt Island Ventures,https://impactassets.org/ia50/fund.php?id=a01RQ000007ny79YAA
Calvert Impact,https://impactassets.org/ia50/fund.php?id=a01RQ000007YXITYA4
Camco Management Limited,https://impactassets.org/ia50/fund.php?id=a01RQ000007E3d8YAC
Capital Impact Partners,https://impactassets.org/ia50/fund.php?id=a01RQ000007YmHVYA0
Capria Ventures LLC,https://impactassets.org/ia50/fund.php?id=a01RQ000007YkNmYAK
Catalyst Fund,https://impactassets.org/ia50/fund.php?id=a01RQ000007o6ENYAY
Century Housing Corporation,https://impactassets.org/ia50/fund.php?id=a01RQ000007EBafYAG
"Chasing Rainbows Management
Company, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007o9iQYAQ
"Chloe Capital, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007oAPxYAM
Circulate Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007EClGYAW
cKers Finance Pvt Ltd,https://impactassets.org/ia50/fund.php?id=a01RQ000007oAcrYAE
"Clean Energy Venture
Management LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007EES5YAO
Closed Loop Partners LLC,https://impactassets.org/ia50/fund.php?id=a01RQ000007E5NGYA0
"CO Capital de Impacto
Social SAPI de CV",https://impactassets.org/ia50/fund.php?id=a01RQ000007o7IbYAI
Collab Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007EHbFYAW
"Community Investment
Management LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007YmcWYAS
Connect Humanity,https://impactassets.org/ia50/fund.php?id=a01RQ000007o8rDYAQ
"Conscious Venture Partners, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007o5IfYAI
CoPeace PBC,https://impactassets.org/ia50/fund.php?id=a01RQ000007pNBRYA2
Core Innovation Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007YorCYAS
Coyote Ventures,https://impactassets.org/ia50/fund.php?id=a01RQ000007p8CRYAY
Craft3,https://impactassets.org/ia50/fund.php?id=a01RQ000007YevAYAS
"Creation Investments Capital
Management, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007YmChYAK
Cross-Border Impact Ventures,https://impactassets.org/ia50/fund.php?id=a01RQ000007pFqhYAE
CrossBoundary LLC,https://impactassets.org/ia50/fund.php?id=a01RQ000007EIaXYAW
DBL Partners,https://impactassets.org/ia50/fund.php?id=a01RQ000007YpYlYAK
Deetken Asset Management Inc.,https://impactassets.org/ia50/fund.php?id=a01RQ000007DxcfYAC
"Dirt Capital Partners, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007EHg9YAG
DWM Asset Management LLC,https://impactassets.org/ia50/fund.php?id=a01RQ000007YpdaYAC
"Earthshot Ventures, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007pR29YAE
Echo River Capital LLC,https://impactassets.org/ia50/fund.php?id=a01RQ000007pQfaYAE
EcoEnterprises Fund,https://impactassets.org/ia50/fund.php?id=a01RQ000007aLptYAE
Ecosystem Integrity Fund,https://impactassets.org/ia50/fund.php?id=a01RQ000007aCY8YAM
EFM,https://impactassets.org/ia50/fund.php?id=a01RQ000007aNtJYAU
Elevar Equity,https://impactassets.org/ia50/fund.php?id=a01RQ000007aDcIYAU
Enduring Planet Inc.,https://impactassets.org/ia50/fund.php?id=a01RQ000007pTiIYAU
"Enhanced Capital Group, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007ENf4YAG
"Enterprise Community
Partners, Inc.",https://impactassets.org/ia50/fund.php?id=a01RQ000007aQsnYAE
"Equator Africa, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007pKS9YAM
Finance in Motion,https://impactassets.org/ia50/fund.php?id=a01RQ000007aQb5YAE
"Founders First Capital
Partners, Inc.",https://impactassets.org/ia50/fund.php?id=a01RQ000007pRWqYAM
GAWA Capital Partners SGEIC S.A.,https://impactassets.org/ia50/fund.php?id=a01RQ000007EXHpYAO
Global Partnerships,https://impactassets.org/ia50/fund.php?id=a01RQ000007aM2pYAE
Goodwell Investments BV,https://impactassets.org/ia50/fund.php?id=a01RQ000007aIIeYAM
"GreyMatter BrainTrust, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007pWwHYAU
HCAP Partners,https://impactassets.org/ia50/fund.php?id=a01RQ000007aA1oYAE
"Hudson Valley Property Group, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007EZI1YAO
Illumen Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007EUWsYAO
"Impact Engine
Management, PBC",https://impactassets.org/ia50/fund.php?id=a01RQ000007aVPSYA2
Incofin Investment Management,https://impactassets.org/ia50/fund.php?id=a01RQ000007aEJqYAM
INOKS Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007Eil7YAC
"Inspired Evolution
Investment Management",https://impactassets.org/ia50/fund.php?id=a01RQ000007EfgoYAC
Investisseurs & Partenaires,https://impactassets.org/ia50/fund.php?id=a01RQ000007aQ1cYAE
"Iroquois Valley Farmland
REIT, PBC",https://impactassets.org/ia50/fund.php?id=a01RQ000007abmbYAA
"JFF Ventures
(fka ETF@JFFLabs)",https://impactassets.org/ia50/fund.php?id=a01RQ000007pRweYAE
"Kairos Investment
Management Company",https://impactassets.org/ia50/fund.php?id=a01RQ000007Eg51YAC
"Kapor Capital
Management, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007RYcfYAG
Katapult Accelerator AS,https://impactassets.org/ia50/fund.php?id=a01RQ000007RZFQYA4
LeapFrog Investments,https://impactassets.org/ia50/fund.php?id=a01RQ000007aRQmYAM
Learn Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007RYBHYA4
Lendable Inc,https://impactassets.org/ia50/fund.php?id=a01RQ000007RNPaYAO
"Lime Rock New Energy, L.P.",https://impactassets.org/ia50/fund.php?id=a01RQ000007RaOMYA0
Living Cities Inc.,https://impactassets.org/ia50/fund.php?id=a01RQ000007aatoYAA
"Local Enterprise
Assistance Fund, Inc.",https://impactassets.org/ia50/fund.php?id=a01RQ000007ReTZYA0
"Local Initiatives
Support Corporation",https://impactassets.org/ia50/fund.php?id=a01RQ000007b3R8YAI
"Lok Impact Advisors
Pvt. Ltd",https://impactassets.org/ia50/fund.php?id=a01RQ000007RbNfYAK
Maycomb Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007RglVYAS
MCE Social Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007RhXtYAK
"MCJ Venture Management, LP",https://impactassets.org/ia50/fund.php?id=a01RQ000007pDk5YAE
"Media Development
Investment Fund, Inc.",https://impactassets.org/ia50/fund.php?id=a01RQ000007b6NOYAY
"MicroVest Capital
Management, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007b7RWYAY
"Mission Driven Finance, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007RSM4YAO
New Summit Investments,https://impactassets.org/ia50/fund.php?id=a01RQ000007RVwbYAG
"Nonprofit Enterprise and
Self-sustainability Team, Inc.",https://impactassets.org/ia50/fund.php?id=a01RQ000007pRyFYAU
North Sky Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007b1vcYAA
"Northern Arc Investment
Managers Private Limited",https://impactassets.org/ia50/fund.php?id=a01RQ000007RZTxYAO
Okavango Capital Partners,https://impactassets.org/ia50/fund.php?id=a01RQ000007pawfYAA
"Omnivore Capital Management
Advisors Private Limited",https://impactassets.org/ia50/fund.php?id=a01RQ000007RvRCYA0
One Acre Fund,https://impactassets.org/ia50/fund.php?id=a01RQ000007RrCIYA0
Open Road Ventures,https://impactassets.org/ia50/fund.php?id=a01RQ000007pXlxYAE
